date, pm25, pm10, o3, no2, so2, co
2023/7/14, 78, 22, 38, 44, 4, 7
2023/7/15, 78, 20, 37, 29, 2, 4
2023/7/16, 61, 16, 35, 53, 2, 5
2023/7/17, 47, 18, 32, 47, 3, 4
2023/7/18, 55, 15, 32, 54, 4, 4
2023/7/19, 45, 18, 36, 44, 1, 6
2023/7/20, 55, 16, 40, 41, 3, 7
2023/7/21, 64, 20, 37, 36, 2, 7
2023/7/22, 72, 20, 32, 38, 3, 7
2023/7/23, 83, 19, 31, 30, 1, 6
2023/7/24, 82, 13, 31, 38, 3, 6
2023/7/25, 62, 17, 34, 60, 5, 8
2023/7/26, 72, 24, 25, 20, 5, 6
2023/7/27, 78, 25, 28, 25, 10, 5
2023/7/28, 56, 20, 29, 24, 11, 6
2023/7/29, 45, 21, 26, 19, 11, 6
2023/7/30, 44, 21, 28, 44, 11, 8
2023/7/31, 47, 20, 23, 50, 11, 8
2023/8/1, 67, 21, 31, 40, 11, 9
2023/8/2, 66, 24, 36, 46, 11, 10
2023/8/3, 64, 24, 35, 51, 10, 11
2023/8/4, 69, 25, 34, 37, 10, 11
2023/8/5, 72, 21, 25, 10, 10, 8
2023/8/6, 60, 18, 25, 44, 10, 10
2023/8/7, 47, 15, 32, 34, 10, 10
2023/8/8, 46, 26, 28, 30, 10, 9
2023/8/9, 55, 28, 23, 26, 10, 10
2023/8/10, 51, 28, 25, 27, 11, 10
2023/8/11, 49, 22, 24, 36, 11, 10
2023/8/12, 43, 28, 25, 19, 10, 10
2023/8/13, 53, 27, 29, 30, 10, 12
2023/8/14, 62, 25, 26, 28, 10, 12
2023/8/15, 64, 26, 25, 31, 11, 12
2023/8/16, 63, 32, 33, 29, 10, 13
2023/8/17, 73, 32, 35, 34, 10, 13
2023/8/18, 78, 32, 33, 35, 9, 13
2023/8/19, 118, 31, 29, 26, 9, 12
2023/8/20, 122, 32, 30, 53, 10, 11
2023/8/21, 68, 32, 29, 47, 11, 11
2023/8/22, 55, 34, 31, 34, 13, 13
2023/8/23, 60, 39, 34, , 12, 14
2023/8/24, 94, 34, 27, , 12, 15
2023/8/25, 107, 33, 31, , 12, 15
2023/8/26, 59, 30, 25, , 11, 14
2023/8/27, 94, 28, 26, , 10, 14
2023/8/28, 73, 26, 27, , 11, 15
2023/8/29, 116, 25, 20, , 10, 13
2023/8/30, 104, 26, 20, 18, 9, 13
2023/8/31, 78, 24, 20, 21, 10, 13
2023/9/1, 74, 25, 25, 12, 10, 12
2023/9/2, 55, 24, 26, 9, 9, 11
2023/9/3, 53, 23, 21, 14, 10, 11
2023/9/4, 167, 24, 14, 17, 10, 12
2023/9/5, 121, 31, 29, 21, 10, 14
2023/9/6, 90, 36, 24, 15, 12, 13
2023/9/7, 60, 28, 26, 11, 10, 11
2023/9/8, 53, 28, 23, 12, 11, 12
2023/9/9, 49, 28, 25, 8, 12, 11
2023/9/10, 49, 30, 21, 10, 10, 11
2023/9/11, 49, 26, 17, 12, 11, 12
2023/9/12, 48, 26, 19, 13, 9, 12
2023/9/13, 51, 27, 24, 17, 8, 14
2023/9/14, 55, 27, 22, 19, 8, 14
2023/9/15, 55, 26, 21, 15, 7, 14
2023/9/16, 54, 27, 21, 9, 6, 13
2023/9/17, 51, 28, 28, 10, 6, 13
2023/9/18, 48, 27, 20, 13, 7, 13
2023/9/19, 51, 27, 22, 15, 7, 14
2023/9/20, 60, 29, 21, 18, 9, 14
2023/9/21, 65, 31, 21, 27, 11, 17
2023/9/22, 73, 33, 4, 32, 8, 20
2023/9/23, 87, 40, , 23, 7, 17
2023/9/24, 96, 46, 21, 22, 10, 16
2023/9/25, 106, 42, 18, 20, 8, 16
2023/9/26, 170, 44, 16, 21, 6, 16
2023/9/27, 127, 33, 10, 16, 4, 15
2023/9/28, 130, 30, 22, 20, 6, 18
2023/9/29, 71, 33, 15, 15, 7, 17
2023/9/30, 64, 27, 16, 10, 5, 15
2023/4/12, 37, 12, 17, 41, 4, 
2023/4/13, 57, 16, 21, 56, 4, 
2023/4/14, 55, 15, 18, 31, 5, 
2023/4/15, 51, 16, 18, 32, 4, 
2023/4/16, 53, 15, 19, 37, 4, 
2023/4/17, 57, 15, 18, 48, 5, 
2023/4/18, 73, 19, 18, 63, 4, 
2023/4/19, 55, 16, 17, 49, 4, 
2023/4/20, 58, 16, 19, 45, 3, 
2023/4/21, 49, 12, 19, 35, 3, 
2023/4/22, 57, 13, 21, 45, 4, 
2023/4/23, 60, 17, 19, 33, 4, 
2023/4/24, 59, 19, 22, 54, 4, 
2023/4/25, 56, 16, 19, 31, 4, 
2023/4/26, 52, 14, 19, 24, 4, 
2023/4/27, 52, 11, 12, 46, 4, 
2023/4/28, 40, 10, 12, 31, 3, 
2023/4/29, 40, 12, 14, 33, 4, 
2023/4/30, 55, 17, 14, 55, 5, 
2023/5/1, 74, 20, 16, 65, 5, 
2023/5/2, 83, 16, 19, 75, 4, 
2023/5/3, 78, 23, 13, 53, 3, 
2023/5/4, 59, 15, 12, 38, 3, 
2023/5/5, 61, 14, 7, 49, 4, 5
2023/5/6, 61, 14, 15, 35, 3, 2
2023/5/12, 49, 19, 9, 31, 4, 6
2023/5/13, 55, 18, 12, 33, 4, 7
2023/5/14, 56, 18, 17, 32, 4, 7
2023/5/15, 73, 24, 15, 75, 4, 11
2023/5/16, 100, 33, 12, 70, 3, 12
2023/5/17, 74, 26, 14, 37, 3, 9
2023/5/18, 66, 22, 16, 39, 3, 9
2023/5/19, 58, 19, 16, 28, 4, 9
2023/5/20, 52, 16, 15, 35, 4, 10
2023/5/21, 57, 16, 19, 36, 4, 10
2023/5/22, 71, 22, 15, 41, 4, 11
2023/5/23, 64, 22, 13, 34, 4, 10
2023/5/24, 58, 16, 14, 41, 3, 12
2023/5/25, 59, 18, 15, 42, 3, 12
2023/5/26, 63, 20, 17, 44, 3, 13
2023/5/27, 64, 23, 12, 50, 3, 14
2023/5/28, 58, 20, 13, 28, 3, 12
2023/5/29, 55, 18, 11, 35, 3, 13
2023/5/30, 54, 16, 8, 44, 3, 14
2023/5/31, 72, 20, 17, 57, 3, 15
2023/6/1, 73, 26, 25, 54, 4, 15
2023/6/2, 69, 23, 13, 58, 3, 16
2023/6/3, 68, 18, 23, 40, 3, 15
2023/6/4, 63, 19, 19, 33, 3, 14
2023/6/5, 46, 14, 18, 39, 3, 14
2023/6/6, 55, 17, 21, 40, 3, 15
2023/6/7, 60, 21, 23, 42, 3, 15
2023/6/8, 72, 24, 23, 41, 3, 12
2023/6/9, 74, 21, 23, 44, 3, 13
2023/6/10, 68, 20, , 45, 3, 14
2023/6/11, 56, 19, 20, 34, 3, 13
2023/6/12, 59, 19, 12, 46, 3, 14
2023/6/13, 56, 19, 10, 41, 3, 14
2023/6/14, 53, 19, 12, 39, 3, 13
2023/6/15, 54, 19, 19, 48, 3, 14
2023/6/16, 64, 18, 13, 54, 3, 14
2023/6/17, 64, 16, 15, 43, 3, 15
2023/6/18, 67, 13, 18, 32, 3, 14
2023/6/19, 61, 14, 27, 37, 3, 15
2023/6/20, 60, 16, 29, 46, 3, 15
2023/6/21, 57, 16, 32, 44, 3, 14
